SPOC HIRES
HD173667 HD173667
HD162004 HD162004
HD168151 HD168151
HD10307 HD10307
HD16623 HD16623
HD18445 HD18445
HD12235 HD12235
HD16287 HD16287
HD16275 HD16275
HD13357 HD13357
HD17190 HD17190
HD16397 HD16397
HD21313 HD21313
HD21847 HD21847
HD24213 HD24213
HD21774 HD21774
HD22072 HD22072
HD18632 HD18632
HD22282 HD22282
HTR333-003 HTR333-003
HTR285-001 HTR285-001
HTR431-010 HTR431-010
HTR114-009 HTR114-009
HD162003 HD162003
HD187013 HD187013
HD202568 HD202568
HD101501 HD101501
HD90508 HD90508
HD111395 HD111395
HD96612 HD96612
KOI-157 K00157
HD112758 HD112758
HD130307 HD130307
HD110833 HD110833
HD110463 HD110463
HD112914 HD112914
HD144872 HD144872
HD153525 HD153525
HD131582 HD131582
HD131511 HD131511
HD122742 HD122742
HD137778 HD137778
HD2331 HD2331
HD8828 HD8828
HTR205-23 HTR205-23
HTR205-22 HTR205-22
HD215274 HD215274
HD145958B HD145958B
HD83752 HD83752
HD104389 HD104389
HD104263 HD104263
HD110743 HD110743
HIP61205 HIP61205
HD133125 HD133125
HD161284 HD161284
HD147752 HD147752
HIP87579 HIP87579
HIP91605 HIP91605
HD175742 HD175742
KOI-262 CK00262
KOI-260 CK00260
HD129814 HD129814
HD142229 HD142229
HTR248-002 HTR248-002
HD14214 HD14214
KIC-7842033 KIC7842033
HTR062-011 HTR062-011
KOI-277 CK00277
HD202575 HD202575
HD181234 HD181234
HD161198 HD161198
HTR093-012 HTR093-012
HTR170-004 HTR170-004
HD3684 HD3684
HD8038 HD8038
HD9540 HD9540A
HD30495 HD30495
EPIC202089657 EPIC202089657
TYC266-622-1 EPIC201713348
TYC211-706-1 WASP84
HD101904 HD101904
HD98281 HD98281
HD159062 HD159062
HD97854 HD97854
HD95622 HD95622
HD170469 HD170469
HD85689 HD85689
HD107181 HD107181
HD122973 HD122973
HD154144 HD154144
HD20439 HD20439
HD10008 HD10008
HD164595 HD164595
TYC6784-837-1 EPIC203771098
KIC-8410697 KIC8410697
EPIC201505350 EPIC201505350
HD146233 HD146233
2MASSJ16494226-1932340 EPIC205071984
TYC6779-268-1 EPIC204221263
K2-37 EPIC203826436
Kepler-10 CK00072
CD-2312854 EPIC204129699
HD106088 HD106088
HD112415 HD112415
HIP68461 HIP68461
HD136274 HD136274
HD146050 HD146050
HD147750 HD147750
HD155712 HD155712
HD166 HD166
HD17156 HD17156
HD19659 HD19659
HIP14113 HIP14113
HD141399 HD141399
HD142626 HD142626
HD155456 HD155456
HD161479 HD161479
HIP79308 HIP79308
HD156279 HD156279
HIP92922 HIP92922
HD168603 HD168603
HD185414 HD185414
HD180161 HD180161
HD182619 HD182619
HD165173 HD165173
HD165401 HD165401
HD169889 HD169889
HD209599 HD209599
HD182189 HD182189
HD6715 HD6715
HD192310 HD192310
HD190412 HD190412
HD176733 HD176733
HD208880 HD208880
HD218445 HD218445
HD222038 HD222038
HD15335 HD15335
HD201651 HD201651
HD207485 HD207485
HD207897 HD207897
HD201924 HD201924
HD204814 HD204814
HD208038 HD208038
HIP113207 HIP113207
HD212733 HD212733
HD207839 HD207839
HD207992 HD207992
HD215500 HD215500
HD216191 HD216191
HD210144 HD210144
HD215704 HD215704
WASP-234318 WASP234318
KOI-316 CK00316
BD+374784 BD+374784
BD+374783 BD+374783
HD240430 HD240430
HD240429 HD240429
HD175541 HD175541
HD217014 HD217014
HD219781 HD219781
HD219828 HD219828
HD5946 HD5946
HD8389A HD8389
HD10015 HD10015
HD7510 HD7510
HD222986 HD222986
HD10013 HD10013
HD16760 HD16760
HD141004 HD141004
HD27496 HD27496
HD19617 HD19617
HD19618 HD19618
HD37605 HD37605
HD38801 HD38801
HD39094 HD39094
HD43691 HD43691
HD53532 HD53532
HD57204 HD57204
HD57813 HD57813
HD58727 HD58727
HD155413 HD155413
HD188512 HD188512
V*V966Tau HII296
V*V1168Tau HII263
HTR176-002 HTR176-002
HTR188-002 HTR188-002
HTR152-001 HTR152-001
HTR182-001 HTR182-001
HTR145-001 HTR145-001
HTR191-001 HTR191-001
HD163607 HD163607
HD152125 HD152125
HD120528 HD120528
HD117122 HD117122
HD114375 HD114375
HD110044 HD110044
HD154325 HD154325
Kepler-1b TRES2
HD175425 HD175425
HD164330 HD164330
HD163589 HD163589
HD96529 HD96529
HIP54498 HIP54498
HD101675 HD101675
HD103417 HD103417
HD103828 HD103828
HD104437 HD104437
HD104588 HD104588
HD238069 HD238069
HD107211 HD107211
HD108942 HD108942
HD109718 HD109718
HD139907 HD139907
HD234314 HD234314
HD149750 HD149750
HD179079 HD179079
HD105546 HD105546
HD3861 HD3861
HD149806 HD149806
HD144585 HD144585
HD145958A HD145958A
HD13043 HD13043
HD9986 HD9986
HD114613 HD114613
HD136352 HD136352
HD159868 HD159868
HD218868 HD218868
HD224619 HD224619
HD103847 HD103847
HD177274 HD177274
HD148284 HD148284
HD12484 HD12484
HD26736 HD26736
HD180053 HD180053
HD183473 HD183473
HD193342 HD193342
HD195787 HD195787
TYC2265-107-1 WASP-1
HD206332 HD206332*
HD197162 HD197162
HD220952 HD220952
HD199476 HD199476
HD4307 HD4307
HIP38340 HIP38340
HD13382 HD13382
HD16141 HD16141
HD28005 HD28005
HD24238 HD24238
HD27732 HD27732
HD27859 HD27859
HD28099 HD28099
HD34445 HD34445
HD33283 HD33283
HD38949 HD38949
HD74156 HD74156
HD40647 HD40647
HD85301 HD85301
HD82943 HD82943
HD90711 HD90711
HD89391 HD89391
HD99491 HD99491
HD96167 HD96167
HD105631 HD105631
HD121550 HD121550
HD126614 HD126614
HD132173 HD132173
HD33142 HD33142
HD95089 HD95089
HD93461 HD93461
HD93396 HD93396
HD76445 HD76445
HD146362 HD146362B
HD151541 HD151541
HD154345 HD154345
HD166620 HD166620
HD176377 HD176377
HD210277 HD210277
HD219834B HD219834B
HD222582 HD222582
HD88133 HD88133
HD125612 HD125612
HD131183 HD131183
HD130992 HD130992
HD134987 HD134987
HD185144 HD185144
HD168009 HD168009
HD186408 HD186408
HD186427 HD186427
HD196124 HD196124
TYC2636-195-1 WASP-3
HD114783 HD114783
HD116443 HD116443
HD124292 HD124292
HD125455 HD125455
HD126053 HD126053
HD151504 HD151504
HD162232 HD162232
HD156342 HD156342
HTR196-004 HTR196-004
HD203471 HD203471
HD190067 HD190067
HD206658 HD206658
HD193690 HD193690
HD205855 HD205855
HD207832 HD207832
HTR341-004 HTR341-004
WASP-2 WASP-2
HD200964 HD200964
HD206610 HD206610
HD207077 HD207077
HD205163 HD205163
HD179957 HD179957
HD179958 HD179958
HD148164 HD148164
HD161797 HD161797
HD157214 HD157214
HD2946 HD2946
HD1502 HD1502
HD4313 HD4313
HD190404 HD190404
HD191785 HD191785
HD190406 HD190406
HD355183 HD355183
HD195019 HD195019
HD14635 HIP11000
HD178251 HD178251
HD210302 HD210302
HD222474 HIP116838
HD216493 HIP113026
HD159813 HIP85977
HD149143 HD149143
HD172051 HD172051
HD183263 HD183263
HTR189-001 HTR189-001
HTR294-009 HTR294-009
HTR213-002 HTR213-002
HTR239-008 HTR239-008
HD179498 HD0732-0862104
HD180512 HD0737-0797111
HTR173-008 HTR173-008
HTR176-001 HTR176-001
HD158633 HD158633
HD217591 HD217591
HD220339 HD220339
HD4915 HD4915
HD1293 HD1293
HD13789 HIP10416
HD31560 HIP22907
HD61005 HD61005
HD217496 HD217496
HD217681 HD217681
HD219553 HD219553
HD220122 HD220122
HD221504 HD221504
HD224679 HD224679
HD223627 HD223627
HD215908 HD215908
HD225021 HD225021
HD236427 HD236427
HD10212 HD10212
HD12137 HD12137
HD8508 HD8508
HD11970 HD11970
HD9313 HD9313
HD6030 HD6030
HD9156 HD9156
HD6019 HD6019
HD6628 HD6628
HD1100 HD1100
HD3458 HD3458
HD5319 HD5319
HD4395 HD4395
HD4917 HD4917
HD7530 HD7530
HD7931 HD7931
HD8407 HD8407
HD9554 HD9554
HD9625 HD9625
HD10011 HD10011
HD10383 HD10383
HD10479 HD10479
HD10823 HD10823
HD10909 HD10909
HD11288 HD11288
HD13167 HD13167
HD15336 HD15336
HD15391 HD15391
HD15928 HD15928
HD14787 HD14787
HD16178 HD16178
HD23825 HD23825
HD16984 HD16984
HD18645 HD18645
HD12164 HD12164
HD17311 HD17311
HD17620 HD17620
HD18015 HD18015
HD18667 HD18667
HD18742 HD18742
HD22233 HD22233
HD22657 HD22657
HD23134 HD23134
HD24148 HD24148
HD24316 HD24316
HD25622 HD25622
HD26007 HD26007
HD26634 HD26634
HD27956 HD27956
HD27297 HD27297
HD28678 HD28678
HD39731 HD39731
HD26140 HD26140
HD30166 HD30166
HD22844 HD22844
HD31543 HD31543
HD30128 HD30128
HD30856 HD30856
HD34909 HD34909
HD200491 HD200491
HD171264 HD171264
HD193391 HD193391
HD188386 HD188386
HD180902 HD180902
HD181342 HD181342
HD192153 HD192153
HD195824 HD195824
HD196645 HD196645
HD208585 HD208585
HD200081 HD200081
HD202867 HD202867
HD206635 HD206635
HD210521 HD210521
HD212771 HD212771
HD213278 HD213278
HD215049 HD215049
HD216834 HD216834
HD212291 HD212291
HD217165 HD217165
HD37008 HD37008
HD48682 HD48682
HD50499 HD50499
HD94818 HIP53541
HD39828 HD39828
HD38505 HD38505
HD68988 HD68988
HD55575 HD55575
HD40979 HD40979
HD87883 HD87883
HD178911B HD178911B
HD187123 HD187123
HD188015 HD188015
HD190228 HD190228
HD208313 HD208313
HD20619 HD20619
HD23249 HD23249
HD20165 HD20165
HD31412 HD31412
HD31253 HD31253
HD32923 HD32923
HD37124 HD37124
HD39881 HD39881
HD43947 HD43947
HD65430 HD65430
HD1205 HD1205
HD3404 HD3404
HD14655 HD14655
HD16297 HD16297
HD47157 HD47157
HD185269 HD185269
HD13931 HD13931
HD209458 HD209458
HD219538 HD219538
HD1461 HD1461
HD47562 HD47562
HD40537 HD40537
HD64413 HD64413
HD64730 HD64730
HD72429 HD72429
HD72490 HD72490
HD87230 HD87230
TYC3727-1064-1 XO-3
HD84737 HD84737
HD45350 HD45350
HD50554 HD50554
HD45210 HD45210
HTR315-006 HTR315-006
HTR180-001 HTR180-001
HTR102-001 HTR102-001
HTR183-008 HTR183-008
HTR183-005 HTR183-005
HTR159-015 HTR159-015
HTR315-005 HTR315-005
KOI-6 K00006
HD107148 HD107148
HD104304 HD104304
HD92788 HD92788
HD96063 HD96063
HD106270 HD106270
HD77172 HD77172
HD72003 HD72003
HD72440 HD72440
HD74390 HD74390
HD77818 HD77818
HD132142 HD132142
HD126991 HD126991
HD128095 HD128095
HD140025 HD140025
HD143761 HD143761
HTR136-001 HTR136-001
HIP43212 HIP43212
HD88134 HD88134
HIP52942A HIP52942A
HD100180 HD100180
HD160215 HD160215
HD166494 HD166494
HD146278 HD146278
HD152733 HD152733
HIP87123 HIP87123
HD156846 HD156846
HD168443 HD168443
HD169830 HD169830
HD179949 HD179949
HD195564 HD195564
HD85440 HD85440
HD93864 HD93864
HD102444 HD102444
HD109159 HD109159
HD109218 HD109218
HD108189 HD108189
HD158449 HD158449
HD136513 HD136513
HD128311 HD128311
BD+222716 WASP14
HD131496 HD131496
HD135101 HD135101A
HD152581 HD152581
HD142267 HD142267
HD83394 HD83394
HD96683 HD96683
HD98219 HD98219
HD103616 HD103616
HD85472 HD85472
HD114161 HD114161
HD124106 HD124106
HD123239 HD123239
HD94834 HD94834
HD108863 HD108863
HD114659 HD114659
HD118744 HD118744
HD117176 HD117176
HD112973 HD112973
HD112988 HD112988
HD122253 HD122253
HD97601 HD97601
HD95128 HD95128
HD95526 HD95526
HD99706 HD99706
HD100337 HD100337
HD106279 HD106279
HD102956 HD102956
KOI-7 CK00007
HD117762 HD117762
HD118082 HD118082
HD125217 HD125217
HD128720 HD128720
KOI-63 CK00063
HD129333 HD129333
HD129601 HD129601
HD125390 HD125390
HD4614 HD4614
HD199960 HD199960
KOI-69 CK00069
KOI-84 CK00084
KOI-103 CK00103
HD19373 HD19373
HD19522 HD19522
HD21340 HD21340
HD34721 HD34721
HD125607 HD125607
HD238433 HD238433
Kepler-109 CK00123
Kepler-20 CK00070
HD3795 HD3795
HD10442 HD10442
HD9562 HD9562
HD145428 HD145428
HD144363 HD144363
Kepler-103 KEPLER103
Kepler-18 CK00137
KOI-180 CK00180
HTR154-011 HTR154-011
HD11506 HD11506
HTR163-001 HTR163-001
HTR123-008 HTR123-008
HTR056-003 HTR056-003
HD10697 HD10697
HD4203 HD4203
HD8574 HD8574
HD69830 HD69830
HD4208 HD4208
HD12039 HD12039
HD32963 HD32963
HTR164-005 HTR164-005
HTR258-002 HTR258-002
HTR171-008 HTR171-008
HTR378-001 HTR378-001
HTR159-019 HTR159-019
HTR160-016 HTR160-016
HTR161-014 HTR161-014
HTR263-005 HTR263-005
HTR376-001 HTR376-001
HD10261 HIP7830
HD47186 HD47186
HTR311-004 HTR311-004
HD50275 HD50275
HD51272 HD51272
HD30882 HD30882
HD31451 HD31451
HD33298 HD33298
HTR267-004 HTR267-004
HTR268-001 HTR268-001
HD10700 HD10700
HD55696 HD55696
HD95188 HD95188
HD73256 HD73256
HD83443 HD83443
HD92945 HD92945
HD90905 HD90905
BD-103166 BD-103166
HD99109 HD99109
BD+282507 XO-1
HD70573 HD70573
HD72687 HD72687
TYC2496-1114-1 WASP13
HTR124-004 HTR124-004
HTR239-004 HTR239-004
HTR194-006 HTR194-006
HTR241-007 HTR241-007
HD60737 HD60737
HD26151 HD26151
HD31392 HD31392
HD37445 HD37445
HD33636 HD33636
HD46375 HD46375
HD50639 HD50639
HD61606 HD61606
HD60491 HD60491
TYC2634-1087-1 HAT5
CoRoT-2 COROT2
TYC3793-1994-1 XO-4
HTR195-003 HTR195-003
HD175289 KIC8866102
HD56083 HD56083
HD75407 HD75407
HD88654 HD88654
HIP80096 HIP80096
HD141937 HD141937
HD109749 HD109749
HD117207 HD117207
HD130322 HD130322
HD234218 HIP74346
KOI-20 K00020
HTR240-003 HTR240-003
HTR294-003 HTR294-003
HD179306 HD179306
HIP96561 HIP96561
HD1666 HD1666
HD2564 HD2564
Kepler-113 CK00153
HD231701 HD231701
KOI-261 CK00261
Kepler-97 CK00292
Kepler-68A KEPLER68
Kepler-104 CK00111
HD192263 HD192263
KOI-82 CK00082
KOI-328 K00328
Kepler-99 CK00305
Kepler-94 CK00104
Kepler-106 KEPLER106
KOI-283 CK00283
KOI-263 CK00263
KOI-274 CK00274
Kepler-98 CK00299
Kepler-21A CK00975
Kepler-48 CK00148
