SPOCSID HIRESID
HD72003 HD72003
HD31423 HD31423
HD24365 HD24365
HD2816 HD2816
HD105631 HD105631
HTR364-003 HTR364-003
HD87424 HD87424
HD27956 HD27956
HD195019 HD195019
HD14635 HIP11000
HD172051 HD172051
HD208585 HD208585
HD212771 HD212771
HD51419 HD51419
HD89793 HD89793
HD200491 HD200491
HD182488 HD182488
HD217591 HD217591
HTR152-001 HTR152-001
HD114174 HD114174
HTR123-008 HTR123-008
HD9540 HD9540
HD86081 HD86081
HD18803 HD18803
HTR315-006 HTR315-006
HD30708 HD30708
HD116443 HD116443
HD38505 HD38505
HD82943 HD82943
HD83752 HD83752
HD202917 HD202917
HD6512 HD6512
HD141272 HD141272
HD219538 HD219538
HD152733 HD152733
HD51272 HD51272
HD45184 HD45184
HD187123 HD187123
TYC6784-837-1 EPIC203771098
HD107146 HD107146
HD136513 HD136513
HD55647 HD55647
HD108942 HD108942
HD92788 HD92788
HD3684 HD3684
HD149724 HD149724
HD94818 HIP53541
HD34721 HD34721
HD98219 HD98219
HD155712 HD155712
HD216259 HD216259
HD75784 HD75784
HD101904 HD101904
HD75898 HD75898
HD22233 HD22233
HD130307 HD130307
HD84737 HD84737
HD99706 HD99706
HD155456 HD155456
HD136352 HD136352
HD146233 HD146233
HD72687 HD72687
HD216722 HD216722
HD88134 HD88134
HD200964 HD200964
HD110463 HD110463
HD35974 HD35974
HD1502 HD1502
HD72429 HD72429
HTR267-004 HTR267-004
HD4203 HD4203
HD104263 HD104263
HD90905 HD90905
HD31018 HD31018
HD128642 HD128642
HD13836 HD13836
HD123239 HD123239
HD25622 HD25622
HD30166 HD30166
HD103417 HD103417
HD144363 HD144363
HD1100 HD1100
HD129814 HD129814
HD43745 HD43745
HD217850 HD217850
HD72673 HD72673
HTR212-002 HTR212-002
HD220554 HD220554
HD190360 HD190360
HD60737 HD60737
HD92266 HD92266
HTR164-005 HTR164-005
HD130048 HD130048
HD190412 HD190412
HD1666 HD1666
HD12164 HD12164
HD20165 HD20165
HD215704 HD215704
HTR173-008 HTR173-008
HD195787 HD195787
HD31560 HD31560
HD102195 HD102195
HTR213-002 HTR213-002
HD205855 HD205855
HD52456 HD52456
HTR388-005 HTR388-005
HD164509 HD164509
HD125217 HD125217
HD156342 HD156342
HD148164 HD148164
HD224032 HD224032
HD222986 HD222986
HD183263 HD183263
HD13871 HD13871
HD15336 HD15336
HD205163 HD205163
TYC2265-107-1 WASP-1
HD114659 HD114659
HD222582 HD222582
HD196676 HD196676
HD104860 HD104860
HD35627 HD35627
HD3795 HD3795
HTR194-006 HTR194-006
HD107181 HD107181
BD+312447 BD+312447
HD38949 HD38949
HD170657 HD170657
HD147752 HD147752
HD18702 HD18702
HD215908 HD215908
HD207839 HD207839
HD108351 HD108351
HD10212 HD10212
HD10790 HD10790
HD70516 HD70516
HTR205-23 HTR205-23
HD217165 HD217165
HD31412 HD31412
HD9218 HD9218
HD175541 HD175541
HD96700 HD96700
HD691 HD691
HD28099 HD28099
HD83394 HD83394
HD18667 HD18667
HD161797 HD161797
HD91876 HD91876
HD201989 HD201989
HD207485 HD207485
HD19034 HD19034
HD111814 HD111814
HTR205-22 HTR205-22
HD145229 HD145229
HD79498 HD79498
HD238069 HD238069
HD201219 HD201219
HD26140 HD26140
BD-103166 BD-103166
HD34887 HD34887
HTR125-017 HTR125-017
HD217681 HD217681
HTR183-008 HTR183-008
HD71334 HD71334
HD4917 HD4917
HD53532 HD53532
HD5946 HD5946
HD108189 HD108189
HD33822 HD33822
HD9986 HD9986
HD117497 HD117497
HD73534 HD73534
HTR159-015 HTR159-015
HD68168 HD68168
HD136925 HD136925
HD17156 HD17156
HD69830 HD69830
HD45210 HD45210
HD176377 HD176377
HIP113207 HIP113207
HD8508 HD8508
HTR087-015 HTR087-015
HD129333 HD129333
HD34909 HD34909
HD84453 HD84453
HD9625 HD9625
HIP92922 HIP92922
HD207992 HD207992
HD48938 HD48938
HD99109 HD99109
HD13931 HD13931
HD146050 HD146050
HTR294-003 HTR294-003
HD206635 HD206635
CD-2312854 EPIC204129699
HD124257B HD124257B
HD93461 HD93461
HD20619 HD20619
HD132173 HD132173
HD17190 HD17190
HD144872 HD144872
HD13483 HD13483
HD195564 HD195564
HD5608 HD5608
HD4747 HD4747
HD14855 HD14855
HD12846 HD12846
HD20439 HD20439
HD45410 HD45410
HD109749 HD109749
HD217107 HD217107
HD153525 HD153525
HD157338 HD157338
HD37986 HD37986
HD4395 HD4395
HD44420 HD44420
HTR240-003 HTR240-003
HD106088 HD106088
HD38858 HD38858
HD219498 HD219498
HD15928 HD15928
HD196761 HD196761
HD28237 HD28237
HD34411 HD34411
HD168443 HD168443
HD178911B HD178911B
HD102956 HD102956
TYC2636-195-1 WASP-3
HD222697 HD222697
HD50692 HD50692
HTR160-016 HTR160-016
HD22049 HD22049
HIP91605 HIP91605
HD24316 HD24316
HD17354 HD17354
HD191359 HD191359
HD109358 HD109358
HD92855 HD92855
HD206658 HD206658
HD240429 HD240429
HD72905 HD72905
HTR102-001 HTR102-001
HD14214 HD14214
HD18436A HD18436A
HD145958B HD145958B
HD10383 HD10383
HD164595 HD164595
HD24892 HD24892
HD87230 HD87230
HD8574 HD8574
HD182572 HD182572
HIP87123 HIP87123
HD98281 HD98281
HD116442 HD116442
HD195824 HD195824
HD179958 HD179958
HD162232 HD162232
HD21774 HD21774
HD19617 HD19617
HD209393 HD209393
HD180161 HD180161
HIP61205 HIP61205
HTR376-001 HTR376-001
HD36308 HD36308
HD27297 HD27297
HD201924 HD201924
HD193391 HD193391
HD127741 HD127741
HD92719 HD92719
HD6872B HD6872B
HD31253 HD31253
HD64413 HD64413
HTR315-005 HTR315-005
HTR180-001 HTR180-001
HD137778 HD137778
HD19659 HD19659
HD1461 HD1461
HD224619 HD224619
HD83443 HD83443
K2-37 EPIC203826436
HD8250 HD8250
HD87001 HD87001
HD125455 HD125455
HD27732 HD27732
HD48682 HD48682
HD111031 HD111031
HD168603 HD168603
HD52711 HD52711
Kepler-411 Kepler-411
Kepler-1b TrES-2
HD1205 HD1205
HD131183 HD131183
HD188512 HD188512
HD101472 HD101472
HD224983 HD224983
HD114375 HD114375
HD12484 HD12484
HD234218 HIP74346
HD90156 HD90156
HD10780 HD10780
HD188386 HD188386
HD154345 HD154345
HD23249 HD23249
HD20618 HD20618
HD164330 HD164330
HD8594 HD8594
HTR163-001 HTR163-001
HTR171-008 HTR171-008
HD110537 HD110537
HD212733 HD212733
HD30649 HD30649
HD130992 HD130992
HTR263-005 HTR263-005
HD101959 HD101959
HTR211-003 HTR211-003
HTR189-001 HTR189-001
HTR389-004 HTR389-004
HIP87579 HIP87579
HD65583 HD65583
HD14787 HD14787
HD10697 HD10697
HTR365-001 HTR365-001
HTR124-004 HTR124-004
HD209253 HD209253
HD116956 HD116956
HD183473 HD183473
TYC6779-268-1 EPIC204221263
HD12661 HD12661
HD207832 HD207832
HD189733 HD189733
HD126991 HD126991
HD37962 HD37962
HD6558 HD6558
HD3141 HD3141
HD110897 HD110897
HD4614 HD4614
HD220952 HD220952
HD27466 HIP20218
HD204814 HD204814
HD10013 HD10013
HD18015 HD18015
HD114613 HD114613
HD159813 HIP85977
HD33636 HD33636
HD1449 HD1449
HTR089-011 HTR089-011
HIP43212 HIP43212
HD94834 HD94834
HD24148 HD24148
HD30339 HD30339
HD188015 HD188015
HTR169-010 HTR169-010
HD45067 HD45067
HD169889 HD169889
HD103047 HD103047
HD104588 HD104588
HD158449 HD158449
HD19373 HD19373
HD149750 HD149750
HD3404 HD3404
HD16178 HD16178
HD156846 HD156846
HD2946 HD2946
HD33142 HD33142
HD103813 HD103813
HD152391 HD152391
HD22657 HD22657
HD37394 HD37394
HD215032 HD215032
HD61994 HD61994
HD210277 HD210277
HD9156 HD9156
TYC3413-5-1 XO-2
HD95526 HD95526
HD66428 HD66428
HTR182-001 HTR182-001
TYC266-622-1 EPIC201713348
HD11506 HD11506
HD145675 HD145675
HD22282 HD22282
HD19308 HD19308
HD216493 HIP113026
HD100623 HD100623
HD177274 HD177274
HD9518 HD9518A
HD80355 HD80355
HD216191 HD216191
HD112914 HD112914
HD26965 HD26965
HD19522 HD19522
HD23825 HD23825
HIP68461 HIP68461
HD142626 HD142626
HD38467 HD38467
HD57204 HD57204
HD26257 HD26257
HD137368 HD137368
HD193342 HD193342
HD168746 HD168746
HD210521 HD210521
BD+282507 XO-1
HD16297 HD16297
HD74669 HD74669
HD66171 HD66171
HD106314 HD106314
HD74156 HD74156
HD37605 HD37605
HD19618 HD19618
HD192699 HD192699
HD139323 HD139323
HD100180 HD100180
HIP32892 HIP32892
HD42618 HD42618
HD151504 HD151504
HD70573 HD70573
HD43162 HD43162
HD34957 HD34957
HD112988 HD112988
HD62068 HD62068
HD34575 HD34575
HD139813 HD139813
HD219781 HD219781
HD8467 HD8467
HD69809 HD69809
HD138004 HD138004
HD72490 HD72490
HD62613 HD62613
HD87836 HD87836
HD220339 HD220339
HD35112 HD35112
HD28495 HIP21276
HD218445 HD218445
HD4307 HD4307
HD10011 HD10011
HD109409 HD109409
HD181342 HD181342
HD4075 HD4075
HD10909 HD10909
HD77818 HD77818
HD25311 HD25311
HD140538A HD140538A
HD21742 HD21742
HD37124 HD37124
HD185269 HD185269
HD50639 HD50639
HD161897 HD161897
HD236427 HD236427
HD153458 HD153458
HD88656 HD88656
HD95088 HD95088
HD56274 HD56274
HD39881 HD39881
HD6019 HD6019
HD159868 HD159868
HD217014 HD217014
HD240430 HD240430
HTR211-001 HTR211-001
HD203471 HD203471
HD11288 HD11288
HD2331 HD2331
HD7924 HD7924
HD154144 HD154144
HD106270 HD106270
HTR213-008 HTR213-008
HD128311 HD128311
HD14412 HD14412
HD61005 HD61005
HD26151 HD26151
HD50499 HD50499
HD16141 HD16141
HD183216 HD183216
HD30856 HD30856
HD171238 HD171238
HD145428 HD145428
HD223315 HD223315
HD46375 HD46375
HD8828 HD8828
HD16275 HD16275
HD219623 HD219623
HD51046 HD51046
HD190406 HD190406
HD196201 HD196201
HD121550 HD121550
HD97854 HD97854
HD106279 HD106279
HD196885A HD196885
HD110743 HD110743
HD67458 HD67458
HTR341-004 HTR341-004
HD233641 HD233641
HD126053 HD126053
HD234314 HD234314
HD22844 HD22844
HD76218 HD76218
HD212291 HD212291
HTR161-014 HTR161-014
HIP6339 HIP6339
HD31451 HD31451
HD163607 HD163607
HD59747 HD59747
HD133295 HD133295
HD223498 HD223498
HD93864 HD93864
HD109218 HD109218
HD30495 HD30495
HD202575 HD202575
HD134319 HD134319
HD223869 HD223869
HD18143 HD18143
HD180053 HD180053
HD61606 HD61606
HD135101 HD135101A
HD163589 HD163589
HD208880 HD208880
HD10476 HD10476
HD203030A HD203030
HD45588 HD45588
HD94151 HD94151
HD103847 HD103847
HD149026 HD149026
HTR285-001 HTR285-001
HD130322 HD130322
HD104800 HD104800
HD355183 HD355183
HD117122 HD117122
HTR431-010 HTR431-010
HD69960 HD69960
HD89269 HD89269
HD89391 HD89391
HD87883 HD87883
HD164922 HD164922
HD152555 HD152555
HD135872 HD135872
HD1388 HD1388
HTR333-003 HTR333-003
HD186427 HD186427
HD218868 HD218868
HD92945 HD92945
HD88654 HD88654
HD196124 HD196124
HD21340 HD21340
HD152581 HD152581
HD49674 HD49674
HD37213 HD37213
HD104304 HD104304
HD75732 HD75732
HD33334 HD33334
HD10995 HD10995
HD97601 HD97601
HD158633 HD158633
HD10008 HD10008
HD31392 HD31392
HD60491 HD60491
HD32963 HD32963
HD17382 HD17382
HD26736 HD26736
HD16984 HD16984
HD132142 HD132142
HD6628 HD6628
HD104437 HD104437
HD11131 HD11131
HD377 HD377
HD95900 HD95900
HD143006 HD143006
HD221354 HD221354
HD199960 HD199960
HD100337 HD100337
HD168009 HD168009
HD176733 HD176733
HD125607 HD125607
HD68017 HD68017
HD8407 HD8407
HD165173 HD165173
HD40979 HD40979
HD18445 HD18445
HD181234 HD181234
HD24238 HD24238
HD192310 HD192310
HD179957 HD179957
HD150706 HD150706
HD151541 HD151541
HD224693 HD224693
HTR239-004 HTR239-004
HD33021 HD33021
HD4628 HD4628
HD33298 HD33298
HD187923 HD187923
HD72440 HD72440
HD76445 HD76445
HD200565 HD200565
HIP14113 HIP14113
HD219828 HD219828
HD8375 HD8375
HD17311 HD17311
HD214823 HD214823
HD16287 HD16287
HD30882 HD30882
HD21847 HD21847
HD10823 HD10823
HD169830 HD169830
HD32923 HD32923
HD199476 HD199476
HD25457 HD25457
HTR258-002 HTR258-002
HD205905 HD205905
HD4741 HD4741
HD159222 HD159222
HD13357 HD13357
HD155413 HD155413
HD215500 HD215500
HD108874 HD108874
HD1770 HD1770
HD131496 HD131496
HIP52942A HIP52942A
HD73256 HD73256
HTR248-002 HTR248-002
HD142229 HD142229
HD131156 HD131156
HD124257A HD124257A
HD47186 HD47186
EPIC201505350 EPIC201505350
HD102444 HD102444
HTR191-001 HTR191-001
HD26007 HD26007
HD216275 HD216275
HD50275 HD50275
HD193690 HD193690
HD142091 HD142091
HD186408 HD186408
HD28005 HD28005
HD16397 HD16397
HD58781 HD58781
HD15391 HD15391
HD107148 HD107148
HD129601 HD129601
HD121320 HD121320
HD99491 HD99491
HD8765 HD8765
HTR311-004 HTR311-004
HD207897 HD207897
HD156279 HD156279
HD80367 HD80367
HD185414 HD185414
HD43691 HD43691
HIP79308 HIP79308
HD37006 HD37006
HD122517 HD122517
HD27530 HD27530
HD88133 HD88133
HD19019 HD19019
HD28678 HD28678
HD85472 HD85472
HD2564 HD2564
HD2589 HD2589
HD5133 HD5133
HD208313 HD208313
HD16623 HD16623
HD50806 HD50806
HD231701 HD231701
HD64730 HD64730
HD103890 HD103890
HTR195-003 HTR195-003
HD146278 HD146278
HD219428 HD219428
HD4313 HD4313
HD122973 HD122973
HD102365 HD102365
HD12974 HD12974
HD71479 HD71479
HD13382 HD13382
HD13789 HIP10416
HD98736 HD98736
HD10442 HD10442
HD190571 HD190571
HD1293 HD1293
HD97658 HD97658
HD170469 HD170469
HD224129 HIP117946
HD192263 HD192263
